Yearly Quartiles,Date Quartiles,Monthly Quartiles,Years,Years in Quartiles,Revenue,Cost of Goods Sold,Gross Profit,SG&A Expenses,Operating Expenses,Operating Income,Total Non-Operating Expense,Pre-Tax Income,Income Taxes,Income After Taxes/From Continuous Operations,Income/Expense From Discontinued Operations,Net Income,Dividends,Net Income Available to Stockholders,Shares Outstanding,Earnings Per Share
2009 1st Q,3/31/2009,March 2009,2009,2009.25,3740,857,2883,3007,3007,-124,-18,-142,-58,-83,-25,-108,64,-172.252,390.456,-0.44
2009 2nd Q,6/30/2009,June 2009,2009,2009.50,3949,772,3177,2813,2813,364,-43,321,92,229,-6,223,500,-277,422,-0.66
2009 3rd Q,9/30/2009,September 2009,2009,2009.75,4255,697,3558,2949,2949,609,-26,583,146,437,-43,394,0,394,453,0.87
2009 4th Q,12/31/2009,December 2009,2009,2010.00,4006,641,3365,2759,2759,606,-32,574,169,404,-29,375,0,375.252,431,0.97
2010 1st Q,3/31/2010,March 2010,2010,2010.25,5091,802,4289,3325,3325,964,0,964,244,720,-84,636,0,636,455,1.4
2010 2nd Q,6/30/2010,June 2010,2010,2010.50,4642,738,3904,2723,2723,1181,0,1181,369,812,-204,608,0,608,456,1.33
2010 3rd Q,9/30/2010,September 2010,2010,2010.75,4722,706,4016,2863,2863,1153,0,1153,335,818,-15,803,0,803,457,1.76
2010 4th Q,12/31/2010,December 2010,2010,2011.00,4612,650,3962,2629,2629,1333,0,1032,332,700,-4,696,0,696,456,1.52
2011 1st Q,3/31/2011,March 2011,2011,2011.25,4694,612,4082,2696,2696,1386,0,1386,354,1032,-16,1016,0,1016,460.3,2.21
2011 2nd Q,6/30/2011,June 2011,2011,2011.50,4556,563,3993,2598,2598,1395,0,1395,450,945,-34,911,0,911,462,1.97
2011 3rd Q,9/30/2011,September 2011,2011,2011.75,4706,552,4154,2901,2901,1253,-18,1235,370,865,-52,813,0,813,460,1.77
2011 4th Q,12/31/2011,December 2011,2011,2012.00,4569,519,4050,3230,3230,820,-27,571,160,411,-4,407,26,381,459.1,0.85
2012 1st Q,3/31/2012,March 2012,2012,2012.25,5500,565,4935,2929,2991,1944,-86,1858,353,1505,-102,1403,7,1396,513,2.72
2012 2nd Q,6/30/2012,June 2012,2012,2012.50,5670,615,5055,4529,4686,369,-133,236,43,193,-100,93,1,92,583,0.16
2012 3rd Q,9/30/2012,September 2012,2012,2012.75,6390,608,5782,3812,4011,1771,-48,1723,535,1188,-10,1178,5,1173,584.1,2.01
2012 4th Q,12/31/2012,December 2012,2012,2013.00,6211,587,5624,4333,4524,1100,0,1367,544,823,-5,818,17,801,566.5,1.22
2013 1st Q,3/31/2013,March 2013,2013,2013.25,6032,481,5551,3699,3876,1675,0,1675,541,1134,-78,1056,18,1038,586.3,1.77
2013 2nd Q,6/30/2013,June 2013,2013,2013.50,6095,457,5638,3613,3780,1858,0,1858,631,1227,-119,1108,17,1091,588.8,1.85
2013 3rd Q,9/30/2013,September 2013,2013,2013.75,6089,438,5651,3797,3958,1693,0,1693,575,1118,-13,1105,18,1087,591.1,1.84
2013 4th Q,12/31/2013,December 2013,2013,2014.00,5960,416,5544,4026,4192,1352,0,1352,477,875,-23,852,17,835,587.6,1.43
2014 1st Q,3/31/2014,March 2014,2014,2014.25,5773,403,5370,3524,3667,1703,0,1703,579,1124,30,1154,18,1136,580.3,1.96
2014 2nd Q,6/30/2014,June 2014,2014,2014.50,5865,397,5468,3547,3683,1785,0,1785,581,1204,-10,1194,17,1177,577.6,2.04
2014 3rd Q,9/30/2014,September 2014,2014,2014.75,6029,390,5639,3848,3978,1661,0,1661,536,1125,-44,1081,25,1056,567.9,1.86
2014 4th Q,12/31/2014,December 2014,2014,2015.00,6202,389,5813,4270,4393,1420,0,1420,450,970,29,999,25,974,571.9,1.73
2015 1st Q,3/31/2015,March 2015,2015,2015.25,6045,398,5647,3874,3984,1663,0,1663,529,1134,19,1153,38,1115,557.2,2
2015 2nd Q,6/30/2015,June 2015,2015,2015.50,6072,400,5672,4325,4436,1236,0,1236,384,852,11,863,33,830,552,1.5
2015 3rd Q,9/30/2015,September 2015,2015,2015.75,6304,404,5900,4146,4252,1648,0,1648,530,1118,-4,1114,35,1079,546.3,1.98
2015 4th Q,12/31/2015,December 2015,2015,2016.00,6617,423,6194,4757,4860,1334,0,1334,426,908,12,920,72,848,548,1.59
2016 1st Q,3/31/2016,March 2016,2016,2016.25,6681,461,6220,4649,4750,1470,0,1470,452,1018,-5,1013,43,970,528,1.84
